fl_iter,main_task_acc,allNDBS,adv_norm_diff_bs,adv_norm_diff,backdoor_acc
1,49.411764705882355,0.318258:0.305986:0.307247:0.290591:0.276971:0.293944:0.289756:0.270315:0.405649:0.264058,0.0,0.0,99.16666666666667
2,53.8235294117647,0.354551:0.389179:0.334593:0.307925:0.389887:0.274574:0.33657:0.358441:0.296349:0.31863,0.0,0.0,18.333333333333332
3,56.1764705882353,0.298923:0.540959:0.367003:0.344523:0.33549:0.334379:0.3554:0.340088:0.317843:0.323627,0.0,0.0,26.666666666666668
4,51.76470588235294,0.49258:0.481295:0.472124:0.442539:0.461832:0.393751:0.395452:0.397176:0.399932:0.363952,0.0,0.0,98.33333333333333
5,57.05882352941177,0.390284:0.43512:0.421378:0.431325:0.52221:0.636768:0.556146:0.622286:0.422312:0.518401,0.0,0.0,89.16666666666667
6,55.294117647058826,0.543224:0.561626:0.491667:0.423478:0.59278:0.457823:0.505294:0.42648:0.569477:0.526284,0.0,0.0,20.0
7,60.294117647058826,0.493917:0.536668:0.54569:0.568885:0.545278:0.598767:0.582983:0.584196:0.568276:0.584362,0.0,0.0,85.83333333333333
8,57.05882352941177,0.57475:0.552589:0.615359:0.660641:0.61225:0.627108:0.568706:0.561414:0.531957:0.54686,0.0,0.0,20.833333333333332
9,59.411764705882355,0.582451:0.612739:0.683602:0.638276:0.648407:0.598991:0.636801:0.629309:0.61058:0.583285,0.0,0.0,43.333333333333336
10,56.1764705882353,0.628561:0.625585:0.642107:0.661045:0.668736:0.575606:0.718013:0.620703:0.715363:0.620987,0.0,0.0,29.166666666666668
11,59.411764705882355,0.694122:0.747113:0.713202:0.736218:0.707067:0.712387:0.694197:0.814299:0.687831:0.687748,0.0,0.0,78.33333333333333
12,56.1764705882353,0.857925:0.79236:0.775325:0.799914:0.848639:0.858512:0.865258:0.803506:0.813025:0.77388,0.0,0.0,20.833333333333332
13,57.35294117647059,0.958474:0.850265:0.781145:0.871207:0.857709:0.816063:0.856424:0.823335:0.850255:0.849196,0.0,0.0,40.0
14,58.529411764705884,0.805067:0.855397:0.889312:0.870729:0.900418:0.855961:0.847367:0.868938:0.823996:0.784098,0.0,0.0,30.0
15,59.411764705882355,1.016835:0.989314:0.957015:0.997446:0.907571:0.953192:0.927393:0.937277:0.957004:0.995889,0.0,0.0,40.0
16,60.0,1.086058:1.079908:1.087954:1.060872:1.063892:1.136545:1.069872:1.067545:1.088292:1.08289,0.0,0.0,19.166666666666668
17,60.0,1.213657:1.185869:1.244728:1.208484:1.202241:1.171558:1.311959:1.192135:1.13428:1.255945,0.0,0.0,43.333333333333336
18,59.705882352941174,1.217499:1.257867:1.345377:1.247642:1.254764:1.276756:1.421395:1.262051:1.226298:1.263321,0.0,0.0,20.0
19,57.05882352941177,1.017782:1.080392:1.009595:1.060526:1.064872:1.031642:1.026493:1.003659:1.053503:1.097651,0.0,0.0,12.5
20,60.294117647058826,1.049589:1.010931:1.028328:0.933791:1.018042:0.977072:0.942151:0.961157:0.944884:0.999142,0.0,0.0,15.833333333333334
21,60.0,1.04585:1.132462:1.056835:1.203663:1.049327:1.023187:1.090231:1.088779:1.037913:1.074239,0.0,0.0,23.333333333333332
22,56.76470588235294,0.975292:1.064253:1.00816:0.949367:1.005111:0.972241:0.996949:1.063385:0.994198:0.955712,0.0,0.0,32.5
23,59.11764705882353,1.053322:1.037403:1.060686:1.150447:1.090688:1.084699:1.005368:1.088394:1.056128:1.126314,0.0,0.0,20.0
24,60.294117647058826,0.994827:0.965496:0.97925:0.958715:0.954772:0.890181:0.970697:0.968307:0.964194:1.024163,0.0,0.0,11.666666666666666
25,58.23529411764706,0.896107:0.881818:0.997073:0.872076:0.843612:0.859991:0.872845:0.888185:0.875239:0.936761,0.0,0.0,6.666666666666667
26,62.94117647058823,1.003916:0.989469:0.993918:0.976435:1.011903:1.057518:1.053431:0.971594:1.099292:1.038034,0.0,0.0,27.5
27,60.88235294117647,1.098384:1.009946:1.036036:1.025929:1.031541:0.983861:1.055543:1.172506:1.040241:1.016034,0.0,0.0,24.166666666666668
28,61.1764705882353,1.102932:1.077297:1.195617:1.15094:1.085409:1.128612:1.098359:1.125202:1.100345:1.125089,0.0,0.0,31.666666666666668
29,62.35294117647059,1.19867:1.101368:1.127476:1.271014:1.162205:1.133214:1.128405:1.173678:1.200942:1.201713,0.0,0.0,23.333333333333332
30,63.529411764705884,1.025122:1.007372:0.945768:0.995986:1.03166:1.078569:0.936866:0.988563:1.00973:1.034155,0.0,0.0,27.5
31,65.88235294117646,1.064636:1.104034:1.117243:1.075567:1.032073:1.106649:1.100646:1.024649:1.115074:1.057225,0.0,0.0,25.0
